%IncMSE,IncNodePurity,Var.Names,MSE_rank,Purity_rank,site,property
1.6740435656085473,24.761430370096207,elevation,1,2,Forest,Ni
0.455924778101697,10.586610521951838,plan_curvature,6,7,Agriculture,Rb
-0.9298920651517352,12.267451056009882,profile_curvature,7,6,Agriculture,Rb
18.781388421561605,189.4539430795667,saga_wetness_index,1,1,Agriculture,Rb
3.301385367732996,19.004751083637373,catchment_area,4,5,Agriculture,Rb
3.543097423706117,31.84134816982652,relative_slope_position,3,3,Agriculture,Rb
0.9649860519634494,24.52492393061327,channel_network_distance,5,4,Agriculture,Rb
17.96119295272966,188.22368574013228,elevation,2,2,Agriculture,Rb
-1.0580020506289458,739.8331549066183,plan_curvature,5,7,Agriculture,Sr
-1.6570237682230569,1146.5698121428368,profile_curvature,6,5,Agriculture,Sr
7.525475608827253,4707.125172113296,saga_wetness_index,2,2,Agriculture,Sr
1.943058396440167,1952.6434300065105,catchment_area,3,3,Agriculture,Sr
0.2377045192331148,1283.4282706622998,relative_slope_position,4,4,Agriculture,Sr
-3.997904448338666,1116.7549744006055,channel_network_distance,7,6,Agriculture,Sr
31.93263030773502,27001.09730583923,elevation,1,1,Agriculture,Sr
2.2523202919560426,258.00021278177894,plan_curvature,6,4,Forest,Sr
6.592729652551421,326.9829041160757,profile_curvature,4,3,Forest,Sr
7.33449323378262,386.5527194195357,saga_wetness_index,2,2,Forest,Sr
4.52051060919255,168.59622404362065,catchment_area,5,5,Forest,Sr
1.515239407105623,87.23476971084372,relative_slope_position,7,7,Forest,Sr
16.5627606357373,839.9591740281755,channel_network_distance,1,1,Forest,Sr
7.131225405661278,162.03573820936853,elevation,3,6,Forest,Sr
4.666725291187379,6.664984135184682e-6,plan_curvature,5,6,Agriculture,x_col
-1.034191693588352,6.221874523707212e-6,profile_curvature,7,7,Agriculture,x_col
7.974749032880704,7.91650265471979e-6,saga_wetness_index,1,4,Agriculture,x_col
2.232865860276535,7.555917167829111e-6,catchment_area,6,5,Agriculture,x_col
7.163493074612409,8.796819119683195e-6,relative_slope_position,3,3,Agriculture,x_col
6.922091354040156,9.003198236244042e-6,channel_network_distance,4,2,Agriculture,x_col
7.837495400277383,9.043373258428195e-6,elevation,2,1,Agriculture,x_col
4.77345255491899,0.00574306014644426,plan_curvature,6,6,Forest,Nb
7.63002076233979,0.00659587806708736,profile_curvature,3,2,Forest,Nb
8.577243531081843,0.00626848950494203,saga_wetness_index,1,4,Forest,Nb
4.903162106241015,0.00646076252847949,catchment_area,5,3,Forest,Nb
3.309884354947201,0.00589197838493655,relative_slope_position,7,5,Forest,Nb
8.360831772901529,0.00737796986225644,channel_network_distance,2,1,Forest,Nb
6.031587838701535,0.00494093035887867,elevation,4,7,Forest,Nb
